Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Operating Profit,Sales Method
West Gear,1197831,11/20/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,$15.00 ,375,"$1,969 ",Online
West Gear,1197831,1/23/2021,South,Arkansas,Little Rock,Women's Street Footwear,$15.00 ,375,"$2,250 ",Online
Foot Locker,1185732,3/16/2020,Northeast,New York,New York,Men's Street Footwear,$41.00 ,375,$800 ,Outlet
Walmart,1197831,8/26/2020,South,Texas,Houston,Women's Street Footwear,$29.00 ,374,$445 ,Outlet
Walmart,1197831,9/1/2020,South,Texas,Houston,Women's Street Footwear,$29.00 ,374,$445 ,Outlet
Foot Locker,1185732,1/31/2020,Northeast,New York,New York,Men's Street Footwear,$33.00 ,372,$663 ,Outlet
Foot Locker,1185732,2/6/2020,Northeast,New York,New York,Men's Street Footwear,$44.00 ,366,$837 ,Outlet
Walmart,1185732,4/19/2020,Northeast,New York,New York,Men's Street Footwear,$56.00 ,360,"$1,250 ",Online
Foot Locker,1185732,3/17/2020,Northeast,New York,New York,Men's Athletic Footwear,$37.00 ,359,$452 ,Outlet
Walmart,1185732,4/18/2020,Northeast,New York,New York,Women's Apparel,$48.00 ,355,$511 ,Outlet
Foot Locker,1185732,1/25/2020,Northeast,New York,New York,Men's Street Footwear,$46.00 ,354,"$1,026 ",Online
Foot Locker,1185732,3/15/2020,Northeast,New York,New York,Women's Apparel,$47.00 ,352,$447 ,Outlet
Foot Locker,1185732,3/17/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,$25.00 ,350,"$3,063 ",In-store
Foot Locker,1185732,6/18/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,$25.00 ,350,"$3,500 ",In-store
Foot Locker,1185732,10/18/2021,Midwest,Missouri,St. Louis,Men's Athletic Footwear,$25.00 ,350,"$3,063 ",In-store
Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,Men's Athletic Footwear,$25.00 ,350,"$3,063 ",In-store
West Gear,1185732,5/12/2021,West,Utah,Salt Lake City,Women's Street Footwear,$25.00 ,350,"$3,063 ",In-store
West Gear,1185732,9/12/2021,West,Utah,Salt Lake City,Women's Street Footwear,$10.00 ,350,"$1,225 ",In-store
Amazon,1185732,4/10/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,$25.00 ,350,"$3,500 ",Online
Walmart,1185732,10/18/2021,South,Mississippi,Jackson,Women's Athletic Footwear,$25.00 ,350,"$3,500 ",Online
Sports Direct,1197831,2/21/2021,South,Mississippi,Jackson,Men's Athletic Footwear,$25.00 ,350,"$3,063 ",Online
Walmart,1197831,3/19/2021,South,Arkansas,Little Rock,Women's Street Footwear,$10.00 ,350,"$1,400 ",Online
Walmart,1197831,3/19/2021,South,Arkansas,Little Rock,Women's Apparel,$25.00 ,350,"$3,500 ",Online
Walmart,1197831,9/19/2021,South,Arkansas,Little Rock,Women's Street Footwear,$15.00 ,350,"$2,100 ",Online
West Gear,1197831,2/21/2021,South,Oklahoma,Oklahoma City,Women's Apparel,$20.00 ,350,"$2,800 ",Online
West Gear,1197831,10/21/2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,$20.00 ,350,"$2,450 ",Online
Kohl's,1197831,1/16/2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,$25.00 ,350,"$3,063 ",Online
Kohl's,1197831,1/16/2021,South,Oklahoma,Oklahoma City,Women's Street Footwear,$15.00 ,350,"$1,838 ",Online
Kohl's,1197831,1/16/2021,South,Oklahoma,Oklahoma City,Women's Apparel,$25.00 ,350,"$3,063 ",Online
West Gear,1185732,2/17/2021,Northeast,West Virginia,Charleston,Women's Apparel,$25.00 ,350,"$3,500 ",In-store
Foot Locker,1185732,1/3/2020,Northeast,New York,New York,Women's Street Footwear,$32.00 ,350,$414 ,Outlet
Foot Locker,1185732,1/24/2020,Northeast,New York,New York,Women's Apparel,$36.00 ,350,$365 ,Outlet
Walmart,1185732,4/20/2020,Northeast,New York,New York,Men's Athletic Footwear,$43.00 ,350,$497 ,Outlet
Walmart,1185732,4/24/2020,Northeast,New York,New York,Women's Apparel,$45.00 ,350,$473 ,Outlet
Walmart,1197831,8/23/2020,South,Texas,Houston,Women's Apparel,$38.00 ,350,$758 ,Outlet
Foot Locker,1185732,1/9/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,$26.00 ,349,$426 ,Outlet
Foot Locker,1185732,3/9/2020,Northeast,New York,New York,Women's Apparel,$46.00 ,347,$511 ,Outlet
West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,$20.00 ,345,"$2,415 ",In-store
West Gear,1128299,1/6/2021,West,California,San Francisco,Men's Street Footwear,$41.00 ,341,$601 ,Outlet
Foot Locker,1185732,3/5/2020,Northeast,New York,New York,Men's Athletic Footwear,$41.00 ,340,$474 ,Outlet
Walmart,1185732,7/18/2020,Northeast,New York,New York,Women's Apparel,$48.00 ,340,$490 ,Outlet
West Gear,1128299,1/12/2021,West,California,San Francisco,Men's Street Footwear,$41.00 ,338,$527 ,Outlet
Foot Locker,1185732,1/1/2020,Northeast,New York,New York,Men's Street Footwear,$47.00 ,336,$963 ,Online
Foot Locker,1185732,2/5/2020,Northeast,New York,New York,Women's Apparel,$39.00 ,333,$351 ,Outlet
Walmart,1185732,5/5/2020,Northeast,New York,New York,Women's Street Footwear,$42.00 ,333,$559 ,Outlet
Walmart,1197831,10/26/2020,South,Texas,Houston,Men's Street Footwear,$32.00 ,333,$426 ,Outlet
Walmart,1197831,10/27/2020,South,Texas,Houston,Men's Athletic Footwear,$34.00 ,333,$476 ,Outlet
West Gear,1128299,2/12/2021,West,California,San Francisco,Men's Athletic Footwear,$46.00 ,332,$321 ,Outlet
Sports Direct,1197831,9/24/2021,South,Texas,Dallas,Women's Street Footwear,$35.00 ,332,$546 ,Outlet
Foot Locker,1185732,1/6/2020,Northeast,New York,New York,Women's Apparel,$38.00 ,330,$401 ,Outlet
Walmart,1185732,4/26/2020,Northeast,New York,New York,Women's Apparel,$50.00 ,330,$462 ,Outlet
Foot Locker,1185732,8/6/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,$62.00 ,326,"$1,152 ",Online
Foot Locker,1185732,8/18/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,$25.00 ,325,"$3,250 ",In-store
Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,$25.00 ,325,"$3,250 ",In-store
West Gear,1185732,1/11/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,$20.00 ,325,"$2,600 ",In-store
West Gear,1185732,4/11/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,$25.00 ,325,"$2,844 ",In-store
West Gear,1185732,4/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,$15.00 ,325,"$1,706 ",In-store
West Gear,1185732,9/12/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,$10.00 ,325,"$1,300 ",In-store
West Gear,1185732,9/12/2021,West,Utah,Salt Lake City,Men's Apparel,$20.00 ,325,"$2,275 ",In-store
Amazon,1185732,3/9/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,$25.00 ,325,"$3,250 ",Online
Foot Locker,1185732,2/18/2021,South,Mississippi,Jackson,Women's Athletic Footwear,$25.00 ,325,"$3,250 ",Online
Walmart,1197831,3/19/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,$20.00 ,325,"$2,275 ",Online
Walmart,1197831,9/19/2021,South,Arkansas,Little Rock,Women's Athletic Footwear,$15.00 ,325,"$1,950 ",Online
Walmart,1197831,9/19/2021,South,Arkansas,Little Rock,Men's Apparel,$25.00 ,325,"$2,844 ",Online
West Gear,1197831,2/21/2021,South,Arkansas,Little Rock,Women's Street Footwear,$15.00 ,325,"$1,950 ",Online
Kohl's,1197831,2/14/2021,Midwest,Kansas,Wichita,Women's Apparel,$20.00 ,325,"$2,275 ",Online
Kohl's,1197831,10/14/2021,Midwest,Kansas,Wichita,Men's Athletic Footwear,$20.00 ,325,"$2,275 ",Online
West Gear,1185732,3/16/2021,Northeast,West Virginia,Charleston,Women's Street Footwear,$20.00 ,325,"$2,600 ",In-store
Foot Locker,1185732,3/16/2020,Northeast,New York,New York,Men's Street Footwear,$58.00 ,325,"$1,150 ",Online
Foot Locker,1185732,3/31/2020,Northeast,New York,New York,Women's Athletic Footwear,$40.00 ,324,$518 ,Outlet
Sports Direct,1185732,5/24/2020,Southeast,Florida,Miami,Men's Street Footwear,$63.00 ,323,"$1,140 ",Online
Foot Locker,1185732,1/21/2020,Northeast,New York,New York,Women's Street Footwear,$32.00 ,323,$393 ,Outlet
Foot Locker,1185732,1/30/2020,Northeast,New York,New York,Women's Apparel,$36.00 ,323,$314 ,Outlet
Walmart,1197831,8/19/2020,South,Texas,Houston,Men's Athletic Footwear,$33.00 ,323,$448 ,Outlet
Walmart,1185732,5/2/2020,Northeast,New York,New York,Women's Apparel,$53.00 ,322,$478 ,Outlet
West Gear,1128299,2/11/2021,West,California,San Francisco,Men's Street Footwear,$40.00 ,322,$425 ,Outlet
Sports Direct,1197831,9/18/2021,South,Texas,Dallas,Women's Street Footwear,$33.00 ,322,$446 ,Outlet
Sports Direct,1197831,4/17/2021,South,Tennessee,Knoxville,Women's Street Footwear,$30.00 ,322,$483 ,Outlet
Sports Direct,1197831,9/8/2021,South,Alabama,Birmingham,Women's Street Footwear,$31.00 ,322,$559 ,Outlet
West Gear,1197831,11/20/2021,South,Arkansas,Little Rock,Women's Street Footwear,$25.00 ,320,"$3,200 ",Online
Foot Locker,1185732,1/2/2020,Northeast,New York,New York,Men's Athletic Footwear,$36.00 ,320,$403 ,Outlet
Foot Locker,1185732,3/3/2020,Northeast,New York,New York,Women's Apparel,$44.00 ,320,$408 ,Outlet
Foot Locker,1185732,3/10/2020,Northeast,New York,New York,Men's Street Footwear,$59.00 ,319,"$1,129 ",Online
Walmart,1197831,8/26/2020,South,Texas,Houston,Women's Street Footwear,$37.00 ,319,$531 ,Online
Foot Locker,1185732,8/12/2020,Southeast,Florida,Miami,Men's Street Footwear,$43.00 ,319,$782 ,Online
Foot Locker,1185732,3/11/2020,Northeast,New York,New York,Men's Athletic Footwear,$41.00 ,318,$482 ,Outlet
Foot Locker,1185732,2/6/2020,Northeast,New York,New York,Men's Street Footwear,$54.00 ,317,"$1,096 ",Online
Foot Locker,1185732,1/8/2020,Northeast,New York,New York,Men's Athletic Footwear,$39.00 ,315,$405 ,Outlet
Foot Locker,1185732,1/26/2020,Northeast,New York,New York,Men's Athletic Footwear,$35.00 ,315,$397 ,Outlet
Foot Locker,1185732,2/1/2020,Northeast,New York,New York,Men's Athletic Footwear,$35.00 ,315,$364 ,Outlet
Foot Locker,1185732,2/2/2020,Northeast,New York,New York,Women's Street Footwear,$28.00 ,315,$335 ,Outlet
Walmart,1185732,4/21/2020,Northeast,New York,New York,Women's Street Footwear,$36.00 ,315,$442 ,Outlet
Walmart,1185732,4/23/2020,Northeast,New York,New York,Men's Apparel,$44.00 ,315,$513 ,Outlet
Walmart,1197831,8/12/2020,South,Texas,Houston,Men's Street Footwear,$24.00 ,315,$295 ,Outlet
Walmart,1197831,9/7/2020,South,Texas,Houston,Women's Street Footwear,$36.00 ,315,$431 ,Outlet
Kohl's,1189833,5/25/2021,West,California,Los Angeles,Men's Street Footwear,$39.00 ,315,$565 ,Outlet
Foot Locker,1185732,1/27/2020,Northeast,New York,New York,Women's Street Footwear,$27.00 ,314,$348 ,Outlet
Foot Locker,1185732,3/18/2020,Northeast,New York,New York,Women's Street Footwear,$37.00 ,314,$430 ,Outlet
Sports Direct,1197831,4/23/2021,South,Tennessee,Knoxville,Women's Street Footwear,$39.00 ,314,$576 ,Outlet
Foot Locker,1185732,1/7/2020,Northeast,New York,New York,Men's Street Footwear,$46.00 ,313,$893 ,Online
Foot Locker,1185732,3/4/2020,Northeast,New York,New York,Men's Street Footwear,$55.00 ,313,"$1,050 ",Online
Walmart,1185732,5/3/2020,Northeast,New York,New York,Men's Street Footwear,$62.00 ,312,"$1,238 ",Online
Foot Locker,1185732,2/7/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,$38.00 ,312,$700 ,Online
Walmart,1185732,4/28/2020,Northeast,New York,New York,Men's Athletic Footwear,$40.00 ,312,$449 ,Outlet
Foot Locker,1185732,7/5/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,$63.00 ,311,"$1,156 ",Online
Walmart,1185732,5/4/2020,Northeast,New York,New York,Men's Athletic Footwear,$43.00 ,310,$467 ,Outlet
Foot Locker,1185732,3/17/2020,Northeast,New York,New York,Men's Athletic Footwear,$53.00 ,308,$669 ,Online
Sports Direct,1185732,8/3/2021,Southeast,North Carolina,Charlotte,Men's Street Footwear,$61.00 ,308,$996 ,Online
Foot Locker,1185732,1/5/2020,Northeast,New York,New York,Men's Apparel,$43.00 ,306,$487 ,Outlet
Foot Locker,1185732,1/23/2020,Northeast,New York,New York,Men's Apparel,$43.00 ,306,$461 ,Outlet
Walmart,1185732,4/22/2020,Northeast,New York,New York,Women's Athletic Footwear,$34.00 ,306,$406 ,Outlet
Walmart,1185732,5/6/2020,Northeast,New York,New York,Women's Athletic Footwear,$41.00 ,306,$502 ,Outlet
Sports Direct,1197831,7/31/2020,South,Texas,Houston,Men's Street Footwear,$20.00 ,306,$257 ,Outlet
Sports Direct,1197831,8/6/2020,South,Texas,Houston,Men's Street Footwear,$23.00 ,306,$260 ,Outlet
Sports Direct,1197831,8/7/2020,South,Texas,Houston,Men's Athletic Footwear,$29.00 ,306,$364 ,Outlet
Walmart,1197831,10/21/2020,South,Texas,Houston,Men's Athletic Footwear,$31.00 ,306,$379 ,Outlet
Walmart,1197831,10/31/2020,South,Texas,Houston,Women's Apparel,$41.00 ,306,$690 ,Outlet
West Gear,1128299,1/11/2021,West,California,San Francisco,Women's Apparel,$60.00 ,306,$477 ,Outlet
West Gear,1128299,2/6/2021,West,California,San Francisco,Men's Athletic Footwear,$46.00 ,306,$282 ,Outlet
Kohl's,1189833,5/1/2021,West,California,Los Angeles,Men's Street Footwear,$36.00 ,306,$496 ,Outlet
Sports Direct,1197831,4/14/2021,South,Tennessee,Knoxville,Women's Apparel,$37.00 ,306,$668 ,Outlet
West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,Men's Street Footwear,$62.00 ,306,$816 ,Outlet
Foot Locker,1185732,3/9/2020,Northeast,New York,New York,Women's Apparel,$64.00 ,305,$761 ,Online
Walmart,1197831,8/30/2020,South,Texas,Houston,Men's Street Footwear,$27.00 ,305,$305 ,Outlet
Walmart,1197831,8/31/2020,South,Texas,Houston,Men's Athletic Footwear,$33.00 ,305,$382 ,Outlet
Foot Locker,1197831,8/8/2021,West,Idaho,Boise,Women's Street Footwear,$39.00 ,305,$511 ,Outlet
West Gear,1185732,9/17/2020,Southeast,Florida,Miami,Men's Street Footwear,$60.00 ,304,"$1,040 ",Online
Walmart,1197831,8/29/2020,South,Texas,Houston,Women's Apparel,$36.00 ,302,$565 ,Outlet
West Gear,1128299,1/18/2021,West,California,San Francisco,Men's Street Footwear,$45.00 ,302,$544 ,Outlet
Sports Direct,1197831,4/1/2021,South,Tennessee,Knoxville,Men's Apparel,$30.00 ,300,"$3,150 ",Outlet
Sports Direct,1197831,9/28/2021,South,Alabama,Birmingham,Men's Apparel,$30.00 ,300,"$4,050 ",Outlet
Foot Locker,1185732,5/19/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,$30.00 ,300,"$3,150 ",In-store
Foot Locker,1185732,9/19/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,$15.00 ,300,"$1,575 ",In-store
West Gear,1185732,2/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,$20.00 ,300,"$2,400 ",In-store
West Gear,1185732,10/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,$20.00 ,300,"$2,100 ",In-store
Amazon,1185732,1/22/2021,Midwest,Ohio,Columbus,Women's Street Footwear,$30.00 ,300,"$3,600 ",Online
Foot Locker,1185732,4/17/2021,South,Mississippi,Jackson,Women's Athletic Footwear,$20.00 ,300,"$2,400 ",Online
Sports Direct,1197831,1/23/2021,South,Mississippi,Jackson,Women's Athletic Footwear,$20.00 ,300,"$2,400 ",Online
Walmart,1197831,4/20/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,$25.00 ,300,"$2,625 ",Online
Walmart,1197831,4/20/2021,South,Arkansas,Little Rock,Women's Street Footwear,$15.00 ,300,"$1,800 ",Online
Walmart,1197831,10/21/2021,South,Arkansas,Little Rock,Women's Street Footwear,$20.00 ,300,"$2,400 ",Online
Kohl's,1197831,11/20/2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,$15.00 ,300,"$1,575 ",Online
Kohl's,1197831,2/14/2021,South,Oklahoma,Oklahoma City,Women's Street Footwear,$15.00 ,300,"$1,575 ",Online
Kohl's,1197831,4/13/2021,Midwest,Kansas,Wichita,Women's Apparel,$30.00 ,300,"$3,150 ",Online
Foot Locker,1197831,10/14/2021,Midwest,Kansas,Wichita,Women's Apparel,$30.00 ,300,"$3,150 ",Online
West Gear,1185732,6/3/2021,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,$30.00 ,300,"$3,150 ",In-store
West Gear,1185732,1/10/2021,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,$25.00 ,300,"$2,625 ",In-store
West Gear,1185732,2/10/2021,Midwest,Indiana,Indianapolis,Women's Apparel,$20.00 ,300,"$2,400 ",In-store
West Gear,1185732,1/17/2021,Midwest,Indiana,Indianapolis,Women's Street Footwear,$25.00 ,300,"$3,000 ",In-store
West Gear,1185732,2/17/2021,Midwest,Indiana,Indianapolis,Women's Street Footwear,$30.00 ,300,"$3,600 ",In-store
Sports Direct,1185732,1/7/2021,Northeast,New Jersey,Newark,Women's Street Footwear,$30.00 ,300,"$2,700 ",In-store
Foot Locker,1185732,1/31/2020,Northeast,New York,New York,Men's Street Footwear,$45.00 ,300,$837 ,Online
Walmart,1185732,5/4/2020,Northeast,New York,New York,Men's Athletic Footwear,$51.00 ,300,$643 ,Online
West Gear,1185732,4/24/2020,Southeast,Florida,Miami,Men's Street Footwear,$52.00 ,300,$874 ,Online
Walmart,1185732,4/27/2020,Northeast,New York,New York,Men's Street Footwear,$60.00 ,299,"$1,076 ",Online
West Gear,1185732,9/11/2020,Southeast,Florida,Miami,Men's Street Footwear,$60.00 ,299,"$1,076 ",Online
Walmart,1197831,9/10/2020,South,Texas,Houston,Women's Apparel,$42.00 ,298,$713 ,Outlet
Walmart,1197831,10/28/2020,South,Texas,Houston,Women's Street Footwear,$38.00 ,298,$430 ,Outlet
West Gear,1128299,7/23/2021,West,Oregon,Portland,Men's Street Footwear,$60.00 ,298,$751 ,Outlet
Walmart,1197831,9/1/2020,South,Texas,Houston,Women's Street Footwear,$39.00 ,297,$533 ,Online
Foot Locker,1185732,3/7/2020,Northeast,New York,New York,Women's Athletic Footwear,$38.00 ,297,$429 ,Outlet
Kohl's,1189833,4/19/2021,West,California,Los Angeles,Men's Street Footwear,$36.00 ,297,$470 ,Outlet
Walmart,1128299,7/16/2021,Southeast,Florida,Orlando,Men's Street Footwear,$68.00 ,297,$747 ,Outlet
Foot Locker,1185732,2/7/2020,Northeast,New York,New York,Men's Athletic Footwear,$37.00 ,296,$383 ,Outlet
Foot Locker,1185732,3/6/2020,Northeast,New York,New York,Women's Street Footwear,$37.00 ,296,$449 ,Outlet
Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,$25.00 ,295,"$2,581 ",In-store
Foot Locker,1185732,3/12/2020,Northeast,New York,New York,Women's Street Footwear,$35.00 ,295,$434 ,Outlet
Walmart,1197831,8/17/2020,South,Texas,Houston,Women's Apparel,$32.00 ,295,$538 ,Outlet
Walmart,1197831,8/18/2020,South,Texas,Houston,Men's Street Footwear,$28.00 ,295,$339 ,Outlet
Walmart,1197831,8/24/2020,South,Texas,Houston,Men's Street Footwear,$29.00 ,295,$342 ,Outlet
Sports Direct,1185732,7/2/2021,Southeast,North Carolina,Charlotte,Men's Street Footwear,$60.00 ,294,$882 ,Online
Walmart,1185732,4/29/2020,Northeast,New York,New York,Women's Street Footwear,$43.00 ,294,$531 ,Outlet
Walmart,1197831,8/29/2020,South,Texas,Houston,Women's Apparel,$47.00 ,293,$868 ,Online
West Gear,1128299,2/11/2021,West,California,San Francisco,Men's Street Footwear,$51.00 ,293,$598 ,Online
Foot Locker,1185732,1/24/2020,Northeast,New York,New York,Women's Apparel,$48.00 ,290,$529 ,Online
Foot Locker,1185732,3/3/2020,Northeast,New York,New York,Women's Apparel,$59.00 ,290,$616 ,Online
Walmart,1185732,4/18/2020,Northeast,New York,New York,Women's Apparel,$62.00 ,290,$665 ,Online
Walmart,1185732,4/26/2020,Northeast,New York,New York,Women's Apparel,$68.00 ,290,$749 ,Online
Walmart,1185732,7/18/2020,Northeast,New York,New York,Women's Apparel,$68.00 ,290,$690 ,Online
West Gear,1185732,4/24/2020,Southeast,Florida,Miami,Men's Street Footwear,$55.00 ,290,$941 ,Online
Foot Locker,1185732,12/5/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,$67.00 ,290,"$1,166 ",Online
Foot Locker,1185732,1/29/2020,Northeast,New York,New York,Men's Apparel,$43.00 ,289,$398 ,Outlet
Foot Locker,1185732,2/3/2020,Northeast,New York,New York,Women's Athletic Footwear,$31.00 ,289,$331 ,Outlet
Foot Locker,1185732,2/9/2020,Northeast,New York,New York,Women's Athletic Footwear,$33.00 ,289,$381 ,Outlet
Walmart,1185732,4/25/2020,Northeast,New York,New York,Men's Apparel,$51.00 ,289,$472 ,Outlet
Sports Direct,1197831,7/26/2020,South,Texas,Houston,Men's Athletic Footwear,$23.00 ,289,$279 ,Outlet
Walmart,1197831,10/25/2020,South,Texas,Houston,Women's Apparel,$44.00 ,289,$725 ,Outlet
West Gear,1128299,11/7/2020,West,California,San Francisco,Men's Street Footwear,$28.00 ,289,$340 ,Outlet
West Gear,1128299,1/30/2021,West,California,San Francisco,Men's Street Footwear,$36.00 ,289,$343 ,Outlet
Kohl's,1189833,5/7/2021,West,California,Los Angeles,Men's Street Footwear,$38.00 ,289,$505 ,Outlet
Foot Locker,1185732,7/16/2021,South,Mississippi,Jackson,Men's Street Footwear,$47.00 ,289,$625 ,Outlet
Foot Locker,1185732,2/8/2020,Northeast,New York,New York,Women's Street Footwear,$36.00 ,288,$435 ,Outlet
Foot Locker,1185732,3/8/2020,Northeast,New York,New York,Men's Apparel,$45.00 ,288,$441 ,Outlet
Kohl's,1189833,5/26/2021,West,California,Los Angeles,Men's Athletic Footwear,$42.00 ,288,$339 ,Outlet
West Gear,1185732,2/10/2021,Southeast,Florida,Orlando,Men's Street Footwear,$36.00 ,288,$487 ,Outlet
Foot Locker,1185732,9/5/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,$51.00 ,287,$849 ,Online
Walmart,1197831,8/13/2020,South,Texas,Houston,Men's Athletic Footwear,$30.00 ,287,$362 ,Outlet
